FID,StopNo,RTIstop,BSID,STPNAM,Lat,Long,wkdyons,wkdyoffs,satons,satoffs,sunons,sunoffs,allons,alloffs,Combined,Rank
52,396709,60608,608,1ST & PASEO DE SAN ANTONIO,37.332972,-121.888183,177,543,98,244,75,207,350,994,629,54
57,396741,64655,4655,SAN CARLOS & 2ND,37.331921,-121.886456,179,29,145,21,105,21,429,71,621,55
1,127202,65059,5059,FOOTHILL COLLEGE,37.362394,-122.126703,325,474,20,41,0,0,345,515,599,56
69,416908,60433,433,SANTA CLARA & 20TH,37.345072,-121.872122,298,102,172,67,129,46,599,215,599,57
2,137701,60501,501,EL CAMINO & SAN ANTONIO,37.401909,-122.114499,90,65,41,50,58,52,189,167,584,58
29,297004,60472,472,EL CAMINO & BOWERS,37.35252,-121.976618,315,325,149,166,117,121,581,612,581,59
85,447208,63511,3511,JACKSON & MCKEE,37.365777,-121.850466,112,151,58,90,36,49,206,290,581,60
76,427105,60034,34,KING & MCKEE,37.357729,-121.860587,91,66,57,62,46,53,194,181,570,61
56,396736,62941,2941,SAN FERNANDO & 2ND,37.334975,-121.887609,333,16,109,14,116,5,558,35,558,62
27,277001,60476,476,EL CAMINO & FLORA VISTA,37.352502,-121.993818,95,133,57,65,59,86,211,284,555,63
80,445901,61717,1717,CAPITOL & SNELL,37.276725,-121.842583,42,105,26,92,24,106,92,303,533,64
10,207303,60361,361,EL CAMINO & KNICKERBOCKR,37.37416,-122.057514,240,191,179,126,113,107,532,424,532,65
67,406810,62944,2944,SAN FERNANDO & 7TH,37.337205,-121.883324,172,388,35,82,19,46,226,516,531,66
71,417904,63550,3550,MORRILL & LANDESS,37.415135,-121.874931,150,50,107,40,99,46,356,136,524,67
40,366620,60600,600,SAN CARLOS & GRAND,37.323367,-121.912531,240,212,147,99,129,80,516,391,516,68
74,426603,60758,758,KEYES & 12TH,37.325234,-121.866367,258,148,158,69,94,47,510,264,510,69
24,267002,60477,477,EL CAMINO & LAWRENCE,37.352476,-121.998163,243,335,143,184,112,131,498,650,498,70
32,297716,64647,4647,OLD IRONSIDES & TASMAN,37.402968,-121.980051,0,0,0,0,0,0,0,0,496,71
37,346615,62825,2825,BASCOM & SAN CARLOS,37.323769,-121.93183,71,109,46,50,36,40,153,199,486,72
73,426307,63279,3279,MONTEREY & CURTNER,37.30457,-121.862393,174,300,106,188,106,202,386,690,486,73
70,417201,60030,30,BERRYESA FLEA MARKET,37.370535,-121.877194,6,11,199,114,279,168,484,293,484,74
98,485601,63410,3410,MONTEREY & ROEDER,37.260627,-121.810379,144,8,80,6,67,12,291,26,480,75
9,207301,60489,489,EL CAMINO & BERNARDO,37.374224,-122.056832,220,248,124,127,88,90,432,465,479,76
64,406804,60436,436,SANTA CLARA & 13TH,37.342032,-121.878508,120,93,69,65,67,58,256,216,478,77
88,456401,63719,3719,MCLAUGHLIN & TULLY,37.315686,-121.836859,86,21,48,8,44,9,178,38,474,78
16,226608,60660,660,STEVENS CREEK & DE ANZA,37.323039,-122.033204,6,263,16,151,2,134,24,548,472,79
96,476601,60053,53,TULLY & QUIMBY,37.325988,-121.820907,149,51,103,47,113,31,365,129,459,80
5,147710,60498,498,EL CAMINO & RENGSTORFF,37.396301,-122.10276,84,116,63,65,53,75,200,256,458,81
68,416510,63206,3206,1ST & ALMA,37.316843,-121.874156,205,137,95,57,81,43,381,237,451,82
81,446301,60943,943,TULLY & SENTER,37.308506,-121.846548,60,34,25,15,26,14,111,63,450,83
21,255803,61043,1043,WEST VALLEY TRANSIT CENTER,37.26674,-122.012707,0,0,0,0,0,0,0,0,448,84
42,366807,60452,452,THE ALAMEDA & TAYLOR,37.337909,-121.919446,249,208,123,99,70,48,442,355,442,85
47,386714,60408,408,SANTA CLARA & CAHILL,37.331855,-121.901624,172,207,140,150,127,123,439,480,439,86
89,456704,60058,58,KING & OCALA,37.330924,-121.834218,199,63,110,44,127,40,436,147,436,87
84,447202,64039,4039,MCKEE & CAPITOL,37.369475,-121.84418,110,7,45,7,45,8,200,22,426,88
14,217303,60486,486,EL CAMINO & PASTORIA,37.370365,-122.04138,212,262,121,146,90,106,423,514,423,89
44,386301,60744,744,WILLOW & LINCOLN,37.308561,-121.900707,67,72,46,28,33,13,146,113,422,90
